timestamp,room_number,sensor_id_occ,sensor_id_temp,occupancy,temperature
2024-01-01 00:00:00,105,OCC_105,TEMP_105,1,22.7
2024-01-01 00:05:00,105,OCC_105,TEMP_105,1,22.11
2024-01-01 00:10:00,105,OCC_105,TEMP_105,1,22.16
2024-01-01 00:15:00,105,OCC_105,TEMP_105,1,23.3
2024-01-01 00:20:00,105,OCC_105,TEMP_105,1,21.41
2024-01-01 00:25:00,105,OCC_105,TEMP_105,1,22.64
2024-01-01 00:30:00,105,OCC_105,TEMP_105,1,22.07
2024-01-01 00:35:00,105,OCC_105,TEMP_105,1,22.03
2024-01-01 00:40:00,105,OCC_105,TEMP_105,1,22.68
2024-01-01 00:45:00,105,OCC_105,TEMP_105,1,22.44
2024-01-01 00:50:00,105,OCC_105,TEMP_105,1,22.66
2024-01-01 00:55:00,105,OCC_105,TEMP_105,1,21.01
2024-01-01 01:00:00,105,OCC_105,TEMP_105,1,21.69
2024-01-01 01:05:00,105,OCC_105,TEMP_105,1,22.52
2024-01-01 01:10:00,105,OCC_105,TEMP_105,1,22.39
2024-01-01 01:15:00,105,OCC_105,TEMP_105,1,21.87
2024-01-01 01:20:00,105,OCC_105,TEMP_105,1,22.39
2024-01-01 01:25:00,105,OCC_105,TEMP_105,1,22.63
2024-01-01 01:30:00,105,OCC_105,TEMP_105,1,21.94
2024-01-01 01:35:00,105,OCC_105,TEMP_105,1,22.54
2024-01-01 01:40:00,105,OCC_105,TEMP_105,1,23.72
2024-01-01 01:45:00,105,OCC_105,TEMP_105,1,21.53
2024-01-01 01:50:00,105,OCC_105,TEMP_105,1,21.94
2024-01-01 01:55:00,105,OCC_105,TEMP_105,1,22.4
2024-01-01 02:00:00,105,OCC_105,TEMP_105,1,20.73
2024-01-01 02:05:00,105,OCC_105,TEMP_105,1,22.3
2024-01-01 02:10:00,105,OCC_105,TEMP_105,1,22.04
2024-01-01 02:15:00,105,OCC_105,TEMP_105,1,22.4
2024-01-01 02:20:00,105,OCC_105,TEMP_105,1,22.1
2024-01-01 02:25:00,105,OCC_105,TEMP_105,1,22.16
2024-01-01 02:30:00,105,OCC_105,TEMP_105,1,23.62
2024-01-01 02:35:00,105,OCC_105,TEMP_105,1,22.8
2024-01-01 02:40:00,105,OCC_105,TEMP_105,1,23.12
2024-01-01 02:45:00,105,OCC_105,TEMP_105,1,22.54
2024-01-01 02:50:00,105,OCC_105,TEMP_105,1,22.84
2024-01-01 02:55:00,105,OCC_105,TEMP_105,1,21.96
2024-01-01 03:00:00,105,OCC_105,TEMP_105,1,22.52
2024-01-01 03:05:00,105,OCC_105,TEMP_105,1,23.35
2024-01-01 03:10:00,105,OCC_105,TEMP_105,1,22.41
2024-01-01 03:15:00,105,OCC_105,TEMP_105,1,23.23
2024-01-01 03:20:00,105,OCC_105,TEMP_105,1,22.47
2024-01-01 03:25:00,105,OCC_105,TEMP_105,1,22.08
2024-01-01 03:30:00,105,OCC_105,TEMP_105,1,23.13
2024-01-01 03:35:00,105,OCC_105,TEMP_105,1,22.1
2024-01-01 03:40:00,105,OCC_105,TEMP_105,1,21.84
2024-01-01 03:45:00,105,OCC_105,TEMP_105,1,23.68
2024-01-01 03:50:00,105,OCC_105,TEMP_105,1,23.45
2024-01-01 03:55:00,105,OCC_105,TEMP_105,1,22.61
2024-01-01 04:00:00,105,OCC_105,TEMP_105,1,22.45
2024-01-01 04:05:00,105,OCC_105,TEMP_105,1,22.79
2024-01-01 04:10:00,105,OCC_105,TEMP_105,1,23.05
2024-01-01 04:15:00,105,OCC_105,TEMP_105,1,22.62
2024-01-01 04:20:00,105,OCC_105,TEMP_105,1,22.84
2024-01-01 04:25:00,105,OCC_105,TEMP_105,1,23.26
2024-01-01 04:30:00,105,OCC_105,TEMP_105,1,22.65
2024-01-01 04:35:00,105,OCC_105,TEMP_105,1,22.28
2024-01-01 04:40:00,105,OCC_105,TEMP_105,1,23.03
2024-01-01 04:45:00,105,OCC_105,TEMP_105,1,23.38
2024-01-01 04:50:00,105,OCC_105,TEMP_105,1,22.99
2024-01-01 04:55:00,105,OCC_105,TEMP_105,1,22.34
2024-01-01 05:00:00,105,OCC_105,TEMP_105,1,22.69
2024-01-01 05:05:00,105,OCC_105,TEMP_105,1,22.71
2024-01-01 05:10:00,105,OCC_105,TEMP_105,1,23.25
2024-01-01 05:15:00,105,OCC_105,TEMP_105,1,23.2
2024-01-01 05:20:00,105,OCC_105,TEMP_105,1,22.5
2024-01-01 05:25:00,105,OCC_105,TEMP_105,1,23.54
2024-01-01 05:30:00,105,OCC_105,TEMP_105,1,22.92
2024-01-01 05:35:00,105,OCC_105,TEMP_105,1,22.77
2024-01-01 05:40:00,105,OCC_105,TEMP_105,1,21.99
2024-01-01 05:45:00,105,OCC_105,TEMP_105,1,23.48
2024-01-01 05:50:00,105,OCC_105,TEMP_105,1,22.44
